N,mean,median,std,min,max,count_gt_55,count_gt_65,count_gt_75,model,category
44,47.84320181818182,47.877985,5.932301190290375,33.128456,59.249184,5,0,0,koniq_score,overall
3,39.894106,39.498928,2.9712096451095453,36.46885,43.71454,0,0,0,koniq_score,manual_existing
22,47.4208185909091,46.42305,5.860443315054119,35.953445,59.249184,3,0,0,koniq_score,technical_bad
19,49.58739752631578,51.43442,5.20675382519399,33.128456,56.79027,2,0,0,koniq_score,low_resolution_issue
44,74.19212104545453,74.413077,2.828556796852328,64.913635,79.58248,44,43,16,flive_score,overall
3,71.72371133333333,71.92349,1.5460223570150022,69.73826,73.509384,3,3,0,flive_score,manual_existing
22,74.48601336363636,74.495592,2.791049005549373,64.913635,78.676735,22,21,8,flive_score,technical_bad
19,74.24157357894737,74.63428,2.8400974455602443,68.53261,79.58248,19,19,8,flive_score,low_resolution_issue
44,65.35092477094044,68.41828227043152,11.049299942873835,33.08739960193634,80.14389276504517,40,28,10,topiq_score,overall
3,71.73025409380595,76.66552066802979,8.520036295143045,59.74322557449341,78.78201603889465,3,2,2,topiq_score,manual_existing
22,58.888621628284454,58.5391491651535,11.35552571769745,33.08739960193634,77.45900750160217,18,9,1,topiq_score,technical_bad
19,71.826329043037,72.51226902008057,5.0245564161158205,60.91980934143066,80.14389276504517,19,17,7,topiq_score,low_resolution_issue
44,58.11564515937459,62.29081451892853,13.971893782148012,21.06354534626007,78.0996024608612,27,17,3,topiq_ranking_score,overall
3,62.81799872716268,68.02053451538086,10.177892371728925,48.59414696693421,71.83931469917297,2,2,0,topiq_ranking_score,manual_existing
22,50.287080894817,48.688751459121704,14.000008481134602,21.06354534626007,73.83878231048584,8,5,0,topiq_ranking_score,technical_bad
19,66.43782163921155,67.44208335876465,8.065791295334037,49.84102845191956,78.0996024608612,17,10,3,topiq_ranking_score,low_resolution_issue
44,69.77152290819748,70.61716438352204,5.224356153282472,55.88206730096817,76.8531458620453,44,37,9,A1:flive_topiq_mean_50_50,overall
3,71.72698271356965,75.0874523340149,4.941204802106083,64.7407427872467,75.35275301944733,3,2,2,A1:flive_topiq_mean_50_50,manual_existing
22,66.68731749596041,66.71194634679794,5.168328921490811,55.88206730096817,76.58867675080108,22,16,1,A1:flive_topiq_mean_50_50,technical_bad
19,73.03395131099218,73.33541451004028,2.482160774000654,67.41376217071533,76.8531458620453,19,19,6,A1:flive_topiq_mean_50_50,low_resolution_issue
44,68.88740328074608,69.79509500968933,6.3413347294364035,51.3231337611618,76.79779903445434,42,32,9,A2:flive_topiq_topiq60_flive40,overall
3,71.7276369896169,75.40306600081787,5.653193089458145,63.74123934469604,76.03860562333679,3,2,2,A2:flive_topiq_topiq60_flive40,manual_existing
22,65.12757832242522,65.13027512160491,6.363467470020881,51.3231337611618,76.7627429009613,20,11,1,A2:flive_topiq_topiq60_flive40,technical_bad
19,72.79242685740114,72.80685110614013,2.880785484046578,66.1149716048584,76.79779903445434,19,19,6,A2:flive_topiq_topiq60_flive40,low_resolution_issue
44,70.65564253564891,71.03339661029663,4.170763361285536,60.44100084077453,76.90849268963623,44,40,7,A3:flive_topiq_flive60_topiq40,overall
3,71.72632843752237,74.66690041555786,4.233016115993939,65.74024622979735,74.77183866721191,3,3,0,A3:flive_topiq_flive60_topiq40,manual_existing
22,68.24705666949559,68.2585680466156,4.03263143458858,60.44100084077453,76.41461060064086,22,18,1,A3:flive_topiq_flive60_topiq40,technical_bad
19,73.27547576458323,73.50004360803223,2.2052034530634375,68.71255273657226,76.90849268963623,19,19,6,A3:flive_topiq_flive60_topiq40,low_resolution_issue
44,68.60875073242568,70.61716438352204,8.028053851193654,41.08739960193634,76.8531458620453,40,36,9,A4:flive_topiq_min_cap_8,overall
3,71.72698271356965,75.0874523340149,4.941204802106083,64.7407427872467,75.35275301944733,3,2,2,A4:flive_topiq_min_cap_8,manual_existing
22,64.3722749435182,66.46790583257675,9.169829656315649,41.08739960193634,76.58867675080108,18,15,1,A4:flive_topiq_min_cap_8,technical_bad
19,73.0217913330853,73.33541451004028,2.498496674282205,67.41376217071533,76.8531458620453,19,19,6,A4:flive_topiq_min_cap_8,low_resolution_issue
44,67.64805936231907,70.61716438352204,9.060701214305336,38.08739960193634,76.8531458620453,40,31,9,A5:flive_topiq_disagreement_guard,overall
3,71.72698271356965,75.0874523340149,4.941204802106083,64.7407427872467,75.35275301944733,3,2,2,A5:flive_topiq_disagreement_guard,manual_existing
22,62.65516278645429,63.5391491651535,10.164443721124075,38.08739960193634,76.58867675080108,18,10,1,A5:flive_topiq_disagreement_guard,technical_bad
19,72.78526749996506,73.33541451004028,2.9581499386629146,65.91980934143066,76.8531458620453,19,19,6,A5:flive_topiq_disagreement_guard,low_resolution_issue
44,61.01766143181819,61.6289665,3.899722386987613,50.830533,67.62979200000001,41,7,0,B1:koniq_flive_mean_50_50,overall
3,55.80890866666666,56.504155999999995,1.1439821106134263,54.19617,56.7264,2,0,0,B1:koniq_flive_mean_50_50,manual_existing
22,60.953415977272726,61.6289665,3.708233374377232,51.295784,67.62979200000001,21,3,0,B1:koniq_flive_mean_50_50,technical_bad
19,61.914485552631575,62.707468500000004,3.7411724836904097,50.830533,66.030225,18,4,0,B1:koniq_flive_mean_50_50,low_resolution_issue
44,58.38276950909091,58.565742199999995,4.264097362043505,47.2901176,65.9536704,35,1,0,B2:koniq_flive_koniq60_flive40,overall
3,52.62594813333334,53.103110400000006,1.4575674485179866,50.650706,54.124027999999996,0,0,0,B2:koniq_flive_koniq60_flive40,manual_existing
22,58.246896500000005,58.5331712,4.0864574029661185,48.5722138,65.9536704,18,1,0,B2:koniq_flive_koniq60_flive40,technical_bad
19,59.44906794736842,60.5695362,4.00555347712795,47.2901176,64.182234,17,0,0,B2:koniq_flive_koniq60_flive40,low_resolution_issue
44,63.65255335454544,64.38405470000001,3.56990665720074,54.0193542,69.3059136,42,18,0,B3:koniq_flive_flive60_koniq40,overall
3,58.9918692,59.328771999999994,0.9148347072662216,57.741634000000005,59.9052016,3,0,0,B3:koniq_flive_flive60_koniq40,manual_existing
22,63.659935454545455,64.5883318,3.3746356613328983,54.0193542,69.3059136,21,9,0,B3:koniq_flive_flive60_koniq40,technical_bad
19,64.37990315789473,64.8454008,3.497946866227807,54.3709484,68.323256,18,9,0,B3:koniq_flive_flive60_koniq40,low_resolution_issue
44,55.843201818181825,55.877985,5.932301190290374,41.128456,67.249184,24,1,0,B4:koniq_flive_koniq_guard_cap_8,overall
3,47.894106,47.498928,2.9712096451095453,44.46885,51.71454,0,0,0,B4:koniq_flive_koniq_guard_cap_8,manual_existing
22,55.420818590909086,54.42305,5.860443315054119,43.953445,67.249184,10,1,0,B4:koniq_flive_koniq_guard_cap_8,technical_bad
19,57.58739752631578,59.43442,5.2067538251939895,41.128456,64.79026999999999,14,0,0,B4:koniq_flive_koniq_guard_cap_8,low_resolution_issue
44,52.843201818181825,52.877985,5.932301190290375,38.128456,64.249184,18,0,0,B5:koniq_flive_disagreement_guard,overall
3,44.894106,44.498928,2.9712096451095453,41.46885,48.71454,0,0,0,B5:koniq_flive_disagreement_guard,manual_existing
22,52.420818590909086,51.42305,5.860443315054119,40.953445,64.249184,8,0,0,B5:koniq_flive_disagreement_guard,technical_bad
19,54.58739752631578,56.43442,5.20675382519399,38.128456,61.79027,10,0,0,B5:koniq_flive_disagreement_guard,low_resolution_issue
